Category,Apache
Total_doses_administered,35975
Total_people_one_dose,20034
Total_people_complete,12843
total_pouluation,20034
Male-65 years and older,2097
Male-55-64 years,1432
Male-45-54 years,1093
Male-20-44 years,2613
Male-Less than 20 years,2672
Female-65 years and older,2405
Female-55-64 years,1505
Female-45-54 years,1076
Female-20-44 years,2391
Female-Less than 20 years,2742
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",108
Hispanic or Latino,463
Unknown,1163
Other Race,1231
"White, non-Hispanic",3176
"American Indian or Alaska Native, non-Hispanic",13845
