Category,Santa Cruz
Total_doses_administered,83990
Total_people_one_dose,45508
Total_people_complete,41216
total_pouluation,45508
Male-65 years and older,4348
Male-55-64 years,3016
Male-45-54 years,3108
Male-20-44 years,8353
Male-Less than 20 years,3203
Female-65 years and older,5242
Female-55-64 years,3262
Female-45-54 years,3308
Female-20-44 years,8309
Female-Less than 20 years,3307
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2818
Other Race,3113
"White, non-Hispanic",6665
Hispanic or Latino,32652
