Category,Arizona
Total_doses_administered,7929145
Total_people_complete,350150
total_pouluation,7189020
Total_people_one_dose,4179637
Male-65 years and older,523165
Male-55-64 years,307394
Male-45-54 years,276139
Male-20-44 years,674043
Male-Less than 20 years,185334
Female-65 years and older,643396
Female-55-64 years,351594
Female-45-54 years,299445
Female-20-44 years,705808
Female-Less than 20 years,193833
"Black or African American, non-Hispanic",118572
"Asian or Pacific Islander, non-Hispanic",152692
"American Indian or Alaska Native, non-Hispanic",156326
Unknown,450418
Other Race,679664
Hispanic or Latino,735981
"White, non-Hispanic",1885984
