Category,value
Hospitalizations,78588
Yuma,2513
Yavapai,2303
Santa Cruz,610
Pinal,5230
Pima,8485
Navajo,2010
Mohave,2610
Maricopa,49681
La Paz,297
Greenlee,57
Graham,398
Gila,841
Coconino,1611
Cochise,865
Apache,1077
Male,41239
Female,37305
65 years and older,33294
55-64 years,14371
45-54 years,11156
20-44 years,16783
Less than 20 years,2940
Unknown,2013
Other Race,3429
"Asian or Pacific Islander, non-Hispanic",1324
"Black or African American, non-Hispanic",3891
"American Indian or Alaska Native, non-Hispanic",5650
Hispanic or Latino,24791
"White, non-Hispanic",37490
