Category,Cochise
Total_doses_administered,127590
Total_people_one_dose,69607
Total_people_complete,62053
total_pouluation,69607
Male-65 years and older,10317
Male-55-64 years,4995
Male-45-54 years,3838
Male-20-44 years,10358
Male-Less than 20 years,3064
Female-65 years and older,12341
Female-55-64 years,6121
Female-45-54 years,4365
Female-20-44 years,10937
Female-Less than 20 years,3179
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1322
"Black or African American, non-Hispanic",1333
Unknown,9228
Other Race,11424
Hispanic or Latino,16887
"White, non-Hispanic",29109
