Category,Mohave
Total_doses_administered,150549
Total_people_one_dose,82599
Total_people_complete,70160
total_pouluation,82599
Male-65 years and older,19062
Male-55-64 years,7698
Male-45-54 years,3952
Male-20-44 years,6755
Male-Less than 20 years,1409
Female-65 years and older,21552
Female-55-64 years,9084
Female-45-54 years,4480
Female-20-44 years,6855
Female-Less than 20 years,1583
"Black or African American, non-Hispanic",514
"American Indian or Alaska Native, non-Hispanic",597
"Asian or Pacific Islander, non-Hispanic",1178
Hispanic or Latino,6291
Unknown,12828
Other Race,14918
"White, non-Hispanic",46273
