Category,Yavapai
Total_doses_administered,197133
Total_people_one_dose,108229
Total_people_complete,92074
total_pouluation,108229
Male-65 years and older,23808
Male-55-64 years,8660
Male-45-54 years,4720
Male-20-44 years,9341
Male-Less than 20 years,2196
Female-65 years and older,29714
Female-55-64 years,11052
Female-45-54 years,5611
Female-20-44 years,9471
Female-Less than 20 years,2508
"Black or African American, non-Hispanic",479
"American Indian or Alaska Native, non-Hispanic",1211
"Asian or Pacific Islander, non-Hispanic",1226
Hispanic or Latino,7098
Other Race,16960
Unknown,24779
"White, non-Hispanic",56476
