Category,Navajo
Total_doses_administered,79428
Total_people_one_dose,42882
Total_people_complete,35954
total_pouluation,42882
Male-65 years and older,6770
Male-55-64 years,3305
Male-45-54 years,2406
Male-20-44 years,5181
Male-Less than 20 years,3119
Female-65 years and older,7631
Female-55-64 years,3763
Female-45-54 years,2411
Female-20-44 years,4967
Female-Less than 20 years,3296
"Black or African American, non-Hispanic",181
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2190
Unknown,2378
Other Race,7873
"White, non-Hispanic",13382
"American Indian or Alaska Native, non-Hispanic",16525
