Category,Yavapai
Total_doses_administered,183191
Total_people_one_dose,104560
Total_people_complete,88579
Total_doses_ordered,165360
total_pouluation,232386
Male-65 years and older,23507
Male-55-64 years,8200
Male-45-54 years,4637
Male-20-44 years,8905
Male-Less than 20 years,1712
Female-65 years and older,29323
Female-55-64 years,10554
Female-45-54 years,5427
Female-20-44 years,9073
Female-Less than 20 years,1912
"Black or African American, non-Hispanic",507
"American Indian or Alaska Native, non-Hispanic",1035
"Asian or Pacific Islander, non-Hispanic",1352
Hispanic or Latino,6195
Other Race,16101
Unknown,26695
"White, non-Hispanic",52675
