Category,Maricopa
Total_doses_administered,2831287
Total_people_one_dose,1608200
Total_people_complete,1413548
Total_doses_ordered,1541187
total_pouluation,4367835
Male-65 years and older,175440
Male-55-64 years,120895
Male-45-54 years,116714
Male-20-44 years,263113
Male-Less than 20 years,64666
Female-65 years and older,228045
Female-55-64 years,140390
Female-45-54 years,130829
Female-20-44 years,288207
Female-Less than 20 years,68165
"American Indian or Alaska Native, non-Hispanic",34477
"Black or African American, non-Hispanic",60640
"Asian or Pacific Islander, non-Hispanic",77461
Unknown,158144
Other Race,248826
Hispanic or Latino,277451
"White, non-Hispanic",751201
