Category,Coconino
Total_doses_administered,145515
Total_people_one_dose,79505
Total_people_complete,72304
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7538
Male-55-64 years,5883
Male-45-54 years,5229
Male-20-44 years,15682
Male-Less than 20 years,2713
Female-65 years and older,8625
Female-55-64 years,6605
Female-45-54 years,5438
Female-20-44 years,18227
Female-Less than 20 years,3489
"Black or African American, non-Hispanic",560
"Asian or Pacific Islander, non-Hispanic",1180
Hispanic or Latino,5353
Other Race,9233
"American Indian or Alaska Native, non-Hispanic",16419
Unknown,16638
"White, non-Hispanic",30122
