Category,Pinal
Total_doses_administered,296222
Total_people_one_dose,168218
Total_people_complete,150941
Total_doses_ordered,197055
total_pouluation,455210
Male-65 years and older,29366
Male-55-64 years,13200
Male-45-54 years,11878
Male-20-44 years,26265
Male-Less than 20 years,4445
Female-65 years and older,33713
Female-55-64 years,14180
Female-45-54 years,10689
Female-20-44 years,19282
Female-Less than 20 years,4609
"Asian or Pacific Islander, non-Hispanic",3090
"Black or African American, non-Hispanic",4590
"American Indian or Alaska Native, non-Hispanic",8055
Other Race,17942
Hispanic or Latino,25730
Unknown,34362
"White, non-Hispanic",74449
