Category,Mohave
Total_doses_administered,148304
Total_people_one_dose,84827
Total_people_complete,71057
Total_doses_ordered,125800
total_pouluation,216985
Male-65 years and older,20966
Male-55-64 years,8034
Male-45-54 years,3996
Male-20-44 years,6528
Male-Less than 20 years,951
Female-65 years and older,23383
Female-55-64 years,9427
Female-45-54 years,4245
Female-20-44 years,6036
Female-Less than 20 years,1110
"Black or African American, non-Hispanic",572
"American Indian or Alaska Native, non-Hispanic",844
"Asian or Pacific Islander, non-Hispanic",1220
Hispanic or Latino,5624
Unknown,14508
Other Race,15402
"White, non-Hispanic",46657
