Category,Santa Cruz
Total_doses_administered,65942
Total_people_one_dose,36354
Total_people_complete,33289
Total_doses_ordered,48042
total_pouluation,53161
Male-65 years and older,3545
Male-55-64 years,2556
Male-45-54 years,2908
Male-20-44 years,7054
Male-Less than 20 years,2097
Female-65 years and older,4289
Female-55-64 years,2598
Female-45-54 years,2755
Female-20-44 years,6374
Female-Less than 20 years,2111
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",29
"Asian or Pacific Islander, non-Hispanic",94
Other Race,1971
Unknown,2283
"White, non-Hispanic",4673
Hispanic or Latino,27288
