Category,Cochise
Total_doses_administered,115249
Total_people_one_dose,64628
Total_people_complete,57358
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10498
Male-55-64 years,5055
Male-45-54 years,3597
Male-20-44 years,9095
Male-Less than 20 years,2196
Female-65 years and older,12436
Female-55-64 years,6069
Female-45-54 years,4183
Female-20-44 years,9111
Female-Less than 20 years,2297
"American Indian or Alaska Native, non-Hispanic",308
"Black or African American, non-Hispanic",1199
"Asian or Pacific Islander, non-Hispanic",1258
Unknown,8603
Other Race,9956
Hispanic or Latino,15189
"White, non-Hispanic",28115
