Category,Greenlee
Total_doses_administered,8349
Total_people_one_dose,4732
Total_people_complete,4202
Total_doses_ordered,9770
total_pouluation,10375
Male-65 years and older,543
Male-55-64 years,591
Male-45-54 years,485
Male-20-44 years,998
Male-Less than 20 years,47
Female-65 years and older,521
Female-55-64 years,407
Female-45-54 years,365
Female-20-44 years,729
Female-Less than 20 years,44
"Black or African American, non-Hispanic",45
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",84
Other Race,127
Unknown,380
"White, non-Hispanic",1957
Hispanic or Latino,2091
