Category,Arizona
Total_doses_administered,6812822
Total_people_complete,3341364
Total_doses_ordered,5232260
total_pouluation,7189020
Total_people_one_dose,3740682
Male-65 years and older,507311
Male-55-64 years,287858
Male-45-54 years,244970
Male-20-44 years,567084
Male-Less than 20 years,135825
Female-65 years and older,626201
Female-55-64 years,333337
Female-45-54 years,270668
Female-20-44 years,602484
Female-Less than 20 years,145644
"Black or African American, non-Hispanic",99616
"American Indian or Alaska Native, non-Hispanic",101284
"Asian or Pacific Islander, non-Hispanic",144031
Unknown,406325
Hispanic or Latino,599089
Other Race,639725
"White, non-Hispanic",1750612
