Category,Yavapai
Total_doses_administered,222866
Total_people_one_dose,112972
Total_people_complete,96120
total_pouluation,112972
Male-65 years and older,24990
Male-55-64 years,8884
Male-45-54 years,4867
Male-20-44 years,9812
Male-Less than 20 years,2552
Female-65 years and older,30775
Female-55-64 years,11303
Female-45-54 years,5797
Female-20-44 years,9988
Female-Less than 20 years,2856
"Black or African American, non-Hispanic",518
"Asian or Pacific Islander, non-Hispanic",1337
"American Indian or Alaska Native, non-Hispanic",1362
Hispanic or Latino,7605
Other Race,16619
Unknown,19549
"White, non-Hispanic",65982
