Category,Mohave
Total_doses_administered,167643
Total_people_one_dose,86388
Total_people_complete,74269
total_pouluation,86388
Male-65 years and older,20003
Male-55-64 years,7929
Male-45-54 years,4123
Male-20-44 years,7148
Male-Less than 20 years,1583
Female-65 years and older,22373
Female-55-64 years,9297
Female-45-54 years,4668
Female-20-44 years,7285
Female-Less than 20 years,1805
"Black or African American, non-Hispanic",577
"American Indian or Alaska Native, non-Hispanic",680
"Asian or Pacific Islander, non-Hispanic",1278
Hispanic or Latino,6698
Unknown,11280
Other Race,13956
"White, non-Hispanic",51919
