Category,Maricopa
Total_doses_administered,5109509
Total_people_one_dose,2539825
Total_people_complete,2260134
total_pouluation,2539825
Male-65 years and older,279031
Male-55-64 years,183840
Male-45-54 years,178036
Male-20-44 years,423468
Male-Less than 20 years,126604
Female-65 years and older,349247
Female-55-64 years,207320
Female-45-54 years,193583
Female-20-44 years,453994
Female-Less than 20 years,130270
"American Indian or Alaska Native, non-Hispanic",48856
"Black or African American, non-Hispanic",97255
"Asian or Pacific Islander, non-Hispanic",126632
Unknown,167342
Other Race,416933
Hispanic or Latino,416997
"White, non-Hispanic",1265810
