Category,La Paz
Total_doses_administered,16344
Total_people_one_dose,8422
Total_people_complete,7347
total_pouluation,8422
Male-65 years and older,2304
Male-55-64 years,589
Male-45-54 years,312
Male-20-44 years,643
Male-Less than 20 years,291
Female-65 years and older,2345
Female-55-64 years,699
Female-45-54 years,359
Female-20-44 years,565
Female-Less than 20 years,298
"Black or African American, non-Hispanic",37
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",448
Other Race,1117
Hispanic or Latino,1243
Unknown,1738
"White, non-Hispanic",3753
