Category,Apache
Total_doses_administered,43073
Total_people_one_dose,23775
Total_people_complete,17061
total_pouluation,23775
Male-65 years and older,2412
Male-55-64 years,1654
Male-45-54 years,1273
Male-20-44 years,2975
Male-Less than 20 years,3305
Female-65 years and older,2851
Female-55-64 years,1792
Female-45-54 years,1298
Female-20-44 years,2802
Female-Less than 20 years,3405
"Black or African American, non-Hispanic",49
"Asian or Pacific Islander, non-Hispanic",107
Hispanic or Latino,512
Other Race,1028
Unknown,1067
"White, non-Hispanic",3486
"American Indian or Alaska Native, non-Hispanic",17526
