date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-05-13,594,7034,977
2021-05-12,585,7021,999
2021-05-11,599,6994,1014
2021-05-10,577,6876,1143
2021-05-09,565,6870,1154
2021-05-08,592,6967,1034
2021-05-07,612,7061,929
2021-05-06,666,7015,919
2021-05-05,672,7008,915
2021-05-04,636,6896,1061
2021-05-03,615,6857,1120
2021-05-02,607,6875,1093
2021-05-01,605,6944,1034
2021-04-30,635,6967,989
2021-04-29,618,6987,984
2021-04-28,643,6905,1038
2021-04-27,622,6852,1105
2021-04-26,615,6787,1178
2021-04-25,611,6841,1127
2021-04-24,591,6965,1028
2021-04-23,592,7073,922
2021-04-22,594,7099,912
2021-04-21,585,7095,929
2021-04-20,584,6997,1005
2021-04-19,562,6786,1233
2021-04-18,555,6932,1070
2021-04-17,549,6927,1104
2021-04-16,567,6956,1054
2021-04-15,569,6983,1025
2021-04-14,584,6968,1025
2021-04-13,531,6959,1084
2021-04-12,565,6786,1229
2021-04-11,552,6899,1109
2021-04-10,532,6942,1092
2021-04-09,576,7010,985
2021-04-08,571,7028,974
2021-04-07,541,7047,996
2021-04-06,574,6985,1023
2021-04-05,546,6990,1034
2021-04-04,516,7025,1038
2021-04-03,538,7062,985
2021-04-02,541,7112,931
2021-04-01,572,7083,924
2021-03-31,604,6909,1060
2021-03-30,592,6870,1097
2021-03-28,549,6837,1161
2021-03-27,562,6880,1132
2021-03-26,581,6961,1049
2021-03-25,626,6960,1004
2021-03-24,628,6943,1021
2021-03-23,653,6866,1049
2021-03-22,650,6767,1158
2021-03-21,647,6767,1144
2021-03-20,631,6840,1105
2021-03-19,700,6909,978
2021-03-18,686,6915,984
2021-03-17,743,6882,954
2021-03-16,773,6824,988
2021-03-15,743,6688,1129
2021-03-14,716,6752,1085
2021-03-13,765,6734,1064
2021-03-12,814,6732,1011
2021-03-11,831,6737,984
2021-03-10,879,6687,995
2021-03-09,868,6681,1005
2021-03-08,925,6529,1083
2021-03-07,919,6661,968
2021-03-06,963,6641,957
2021-03-05,966,6650,952
2021-03-04,1043,6559,970
2021-03-03,1072,6469,1045
2021-03-02,1165,6302,1112
2021-03-01,1202,6167,1215
