Category,La Paz
Total_doses_administered,15683
Total_people_one_dose,8757
Total_people_complete,7429
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,2974
Male-55-64 years,618
Male-45-54 years,269
Male-20-44 years,410
Male-Less than 20 years,50
Female-65 years and older,2889
Female-55-64 years,787
Female-45-54 years,302
Female-20-44 years,389
Female-Less than 20 years,55
"Black or African American, non-Hispanic",0.0022838871759735
"Asian or Pacific Islander, non-Hispanic",0.0050245517871417
"American Indian or Alaska Native, non-Hispanic",0.0101632979330821
Other Race,0.0122187963914583
Hispanic or Latino,0.0946671234441019
Unknown,0.389745346579879
"White, non-Hispanic",0.4858969966883636
