,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1534305,16505,93129,126263,45374,17386,7981,15683,2052469,119612,45433,735385,231048,50027,163195,157839
Total_people_one_dose,3098785,839304,9387,53315,69183,25240,9639,4522,8757,1216997,70235,26611,419392,134233,28498,94144,89328
Total_people_complete,2572917,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,589145,,,,,,,,,,,,,,,,
55-64 years,302513,,,,,,,,,,,,,,,,
45-54 years,228919,,,,,,,,,,,,,,,,
20-44 years,485495,,,,,,,,,,,,,,,,
Less than 20 years,58781,,,,,,,,,,,,,,,,
65 years and older,28498,,,,,,,,,,,,,,,,
55-64 years,254709,,,,,,,,,,,,,,,,
45-54 years,201828,,,,,,,,,,,,,,,,
20-44 years,441729,,,,,,,,,,,,,,,,
Less than 20 years,51124,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",71577,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",74611,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",115319,,,,,,,,,,,,,,,,
Hispanic or Latino,411517,,,,,,,,,,,,,,,,
Unknown,421239,,,,,,,,,,,,,,,,
Other Race,524139,,,,,,,,,,,,,,,,
"White, non-Hispanic",1480383,,,,,,,,,,,,,,,,
