,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1387118,300995,6936,22021,41024,12384,5103,4050,3858,557767,22528,17938,221382,58651,10607,49351,31485
Total_people_one_dose,1027816,236460,5212,16935,31054,9704,3732,3119,3425,401163,17486,13069,163436,44976,8813,43917,25315
Total_people_complete,353796,71832,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,333697,,,,,,,,,,,,,,,
65 years and older,301758,85082,,,,,,,,,,,,,,,
55-64 years,75303,12771,,,,,,,,,,,,,,,
45-54 years,70298,10875,,,,,,,,,,,,,,,
20-44 years,147283,21728,,,,,,,,,,,,,,,
Less than 20 years,4560,707,,,,,,,,,,,,,,,
65 years and older,245326,73947,,,,,,,,,,,,,,,
55-64 years,46516,8237,,,,,,,,,,,,,,,
45-54 years,44345,7674,,,,,,,,,,,,,,,
20-44 years,86656,13946,,,,,,,,,,,,,,,
Less than 20 years,2847,475,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2328,429,,,,,,,,,,,,,,,
Black or African American,15114,1124,,,,,,,,,,,,,,,
Asian,23191,3269,,,,,,,,,,,,,,,
American Indian or Alaska Native,31709,5916,,,,,,,,,,,,,,,
Hispanic or Latino,82626,8681,,,,,,,,,,,,,,,
Other Race/Unknown,372890,69346,,,,,,,,,,,,,,,
White,503106,147825,,,,,,,,,,,,,,,
