Category,Yuma
Total_doses_administered,233661
Total_people_one_dose,130705
Total_people_complete,111427
Total_doses_ordered,153428
total_pouluation,229957
Male-65 years and older,16415
Male-55-64 years,9239
Male-45-54 years,8286
Male-20-44 years,24974
Male-Less than 20 years,6428
Female-65 years and older,18548
Female-55-64 years,9676
Female-45-54 years,8494
Female-20-44 years,21429
Female-Less than 20 years,6794
"Asian or Pacific Islander, non-Hispanic",805
"Black or African American, non-Hispanic",811
"American Indian or Alaska Native, non-Hispanic",1726
Other Race,11767
"White, non-Hispanic",23775
Unknown,34299
Hispanic or Latino,57522
