Category,Cochise
Total_doses_administered,128550
Total_people_one_dose,71655
Total_people_complete,63180
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11055
Male-55-64 years,5342
Male-45-54 years,3993
Male-20-44 years,10542
Male-Less than 20 years,3011
Female-65 years and older,13086
Female-55-64 years,6446
Female-45-54 years,4562
Female-20-44 years,10471
Female-Less than 20 years,3054
"American Indian or Alaska Native, non-Hispanic",344
"Asian or Pacific Islander, non-Hispanic",1353
"Black or African American, non-Hispanic",1370
Unknown,9663
Other Race,10845
Hispanic or Latino,17529
"White, non-Hispanic",30551
