Category,Gila
Total_doses_administered,56627
Total_people_one_dose,30678
Total_people_complete,27389
Total_doses_ordered,38520
total_pouluation,55159
Male-65 years and older,6076
Male-55-64 years,2708
Male-45-54 years,1705
Male-20-44 years,3438
Male-Less than 20 years,868
Female-65 years and older,6423
Female-55-64 years,3022
Female-45-54 years,1793
Female-20-44 years,3589
Female-Less than 20 years,993
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",264
Hispanic or Latino,1427
Other Race,5063
Unknown,5572
"American Indian or Alaska Native, non-Hispanic",6305
"White, non-Hispanic",11947
