Category,Apache
Total_doses_administered,35910
Total_people_one_dose,20246
Total_people_complete,13389
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2104
Male-55-64 years,1427
Male-45-54 years,1117
Male-20-44 years,2761
Male-Less than 20 years,2611
Female-65 years and older,2271
Female-55-64 years,1565
Female-45-54 years,1146
Female-20-44 years,2568
Female-Less than 20 years,2666
"Asian or Pacific Islander, non-Hispanic",180
"Black or African American, non-Hispanic",308
Unknown,1084
Other Race,1335
Hispanic or Latino,2022
"White, non-Hispanic",3486
"American Indian or Alaska Native, non-Hispanic",11831
