Category,Santa Cruz
Total_doses_administered,74413
Total_people_one_dose,41237
Total_people_complete,37313
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3699
Male-55-64 years,2690
Male-45-54 years,3173
Male-20-44 years,8146
Male-Less than 20 years,2854
Female-65 years and older,4478
Female-55-64 years,2720
Female-45-54 years,2990
Female-20-44 years,7538
Female-Less than 20 years,2879
"American Indian or Alaska Native, non-Hispanic",20
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",103
Other Race,2087
Unknown,2403
"White, non-Hispanic",4977
Hispanic or Latino,31609
