Category,Maricopa
Total_doses_administered,3417807
Total_people_one_dose,1933028
Total_people_complete,1686941
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,205944
Male-55-64 years,136104
Male-45-54 years,137584
Male-20-44 years,328210
Male-Less than 20 years,92483
Female-65 years and older,262677
Female-55-64 years,156623
Female-45-54 years,151643
Female-20-44 years,355016
Female-Less than 20 years,94739
"American Indian or Alaska Native, non-Hispanic",41867
"Black or African American, non-Hispanic",75866
"Asian or Pacific Islander, non-Hispanic",86869
Unknown,187332
Other Race,296547
Hispanic or Latino,358126
"White, non-Hispanic",886421
