Category,Yavapai
Total_doses_administered,200731
Total_people_one_dose,114459
Total_people_complete,96607
Total_doses_ordered,175366
total_pouluation,232386
Male-65 years and older,24814
Male-55-64 years,8860
Male-45-54 years,5253
Male-20-44 years,10470
Male-Less than 20 years,2258
Female-65 years and older,30927
Female-55-64 years,11280
Female-45-54 years,6124
Female-20-44 years,10637
Female-Less than 20 years,2520
"Black or African American, non-Hispanic",641
"American Indian or Alaska Native, non-Hispanic",1195
"Asian or Pacific Islander, non-Hispanic",1503
Hispanic or Latino,7454
Other Race,17642
Unknown,27874
"White, non-Hispanic",58150
