Category,Pinal
Total_doses_administered,343389
Total_people_one_dose,196161
Total_people_complete,175019
Total_doses_ordered,202352
total_pouluation,455210
Male-65 years and older,31647
Male-55-64 years,14529
Male-45-54 years,13827
Male-20-44 years,33485
Male-Less than 20 years,6726
Female-65 years and older,36170
Female-55-64 years,15480
Female-45-54 years,12431
Female-20-44 years,24580
Female-Less than 20 years,6682
"Asian or Pacific Islander, non-Hispanic",3516
"Black or African American, non-Hispanic",5837
"American Indian or Alaska Native, non-Hispanic",9423
Other Race,21277
Hispanic or Latino,31553
Unknown,38750
"White, non-Hispanic",85805
