Category,Mohave
Total_doses_administered,167786
Total_people_one_dose,95231
Total_people_complete,79847
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22451
Male-55-64 years,8861
Male-45-54 years,4681
Male-20-44 years,8043
Male-Less than 20 years,1560
Female-65 years and older,24980
Female-55-64 years,10315
Female-45-54 years,4996
Female-20-44 years,7504
Female-Less than 20 years,1673
"Black or African American, non-Hispanic",690
"American Indian or Alaska Native, non-Hispanic",993
"Asian or Pacific Islander, non-Hispanic",1374
Hispanic or Latino,7022
Unknown,16219
Other Race,16451
"White, non-Hispanic",52482
