Category,Coconino
Total_doses_administered,201906
Total_people_one_dose,94226
Total_people_complete,81595
total_pouluation,94226
Male-65 years and older,9403
Male-55-64 years,6346
Male-45-54 years,5784
Male-20-44 years,17102
Male-Less than 20 years,6004
Female-65 years and older,10587
Female-55-64 years,7120
Female-45-54 years,5866
Female-20-44 years,19496
Female-Less than 20 years,6251
"Black or African American, non-Hispanic",784
"Asian or Pacific Islander, non-Hispanic",1627
Hispanic or Latino,7094
Other Race,8652
Unknown,12556
"American Indian or Alaska Native, non-Hispanic",22441
"White, non-Hispanic",41072
