Category,Maricopa
Total_doses_administered,5537157
Total_people_one_dose,2636853
Total_people_complete,2299540
total_pouluation,2636853
Male-65 years and older,285095
Male-55-64 years,188176
Male-45-54 years,182608
Male-20-44 years,436886
Male-Less than 20 years,146220
Female-65 years and older,356252
Female-55-64 years,211801
Female-45-54 years,198006
Female-20-44 years,467996
Female-Less than 20 years,149351
"American Indian or Alaska Native, non-Hispanic",51561
"Black or African American, non-Hispanic",101886
"Asian or Pacific Islander, non-Hispanic",133429
Unknown,176112
Other Race,426840
Hispanic or Latino,442263
"White, non-Hispanic",1304762
