Category,Yavapai
Total_doses_administered,244096
Total_people_one_dose,117023
Total_people_complete,98707
total_pouluation,117023
Male-65 years and older,25833
Male-55-64 years,9162
Male-45-54 years,5055
Male-20-44 years,10201
Male-Less than 20 years,2893
Female-65 years and older,31514
Female-55-64 years,11609
Female-45-54 years,6004
Female-20-44 years,10439
Female-Less than 20 years,3162
"Black or African American, non-Hispanic",553
"American Indian or Alaska Native, non-Hispanic",1426
"Asian or Pacific Islander, non-Hispanic",1432
Hispanic or Latino,8066
Other Race,17220
Unknown,18939
"White, non-Hispanic",69387
