Category,Yuma
Total_doses_administered,308815
Total_people_one_dose,156235
Total_people_complete,126827
total_pouluation,156235
Male-65 years and older,16437
Male-55-64 years,10420
Male-45-54 years,9174
Male-20-44 years,27970
Male-Less than 20 years,12273
Female-65 years and older,19001
Female-55-64 years,11125
Female-45-54 years,10120
Female-20-44 years,26375
Female-Less than 20 years,12748
"Black or African American, non-Hispanic",830
"American Indian or Alaska Native, non-Hispanic",1161
"Asian or Pacific Islander, non-Hispanic",1209
Other Race,18721
Unknown,29022
"White, non-Hispanic",34333
Hispanic or Latino,70959
