Category,Apache
Total_doses_administered,60186
Total_people_one_dose,29153
Total_people_complete,22612
total_pouluation,29153
Male-65 years and older,2782
Male-55-64 years,2022
Male-45-54 years,1621
Male-20-44 years,3852
Male-Less than 20 years,3967
Female-65 years and older,3341
Female-55-64 years,2180
Female-45-54 years,1597
Female-20-44 years,3744
Female-Less than 20 years,4039
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",133
Hispanic or Latino,568
Unknown,1103
Other Race,1139
"White, non-Hispanic",3639
"American Indian or Alaska Native, non-Hispanic",22512
