Category,Cochise
Total_doses_administered,161470
Total_people_one_dose,80428
Total_people_complete,66758
total_pouluation,80428
Male-65 years and older,11196
Male-55-64 years,5497
Male-45-54 years,4308
Male-20-44 years,11564
Male-Less than 20 years,5329
Female-65 years and older,13127
Female-55-64 years,6526
Female-45-54 years,4825
Female-20-44 years,12258
Female-Less than 20 years,5697
"American Indian or Alaska Native, non-Hispanic",359
"Asian or Pacific Islander, non-Hispanic",1469
"Black or African American, non-Hispanic",1573
Unknown,9425
Other Race,11839
Hispanic or Latino,22719
"White, non-Hispanic",33044
