Category,Mohave
Total_doses_administered,183170
Total_people_one_dose,89834
Total_people_complete,76220
total_pouluation,89834
Male-65 years and older,20877
Male-55-64 years,8205
Male-45-54 years,4272
Male-20-44 years,7470
Male-Less than 20 years,1777
Female-65 years and older,23040
Female-55-64 years,9556
Female-45-54 years,4826
Female-20-44 years,7658
Female-Less than 20 years,1975
"Black or African American, non-Hispanic",613
"American Indian or Alaska Native, non-Hispanic",733
"Asian or Pacific Islander, non-Hispanic",1355
Hispanic or Latino,7135
Unknown,11486
Other Race,14359
"White, non-Hispanic",54153
