Category,Arizona
Total_doses_administered,9556480
Total_people_complete,3928738
total_pouluation,7189020
Total_people_one_dose,4622339
Male-65 years and older,564997
Male-55-64 years,328522
Male-45-54 years,296459
Male-20-44 years,735774
Male-Less than 20 years,259579
Female-65 years and older,687649
Female-55-64 years,373965
Female-45-54 years,319531
Female-20-44 years,769428
Female-Less than 20 years,266528
"Black or African American, non-Hispanic",139368
"Asian or Pacific Islander, non-Hispanic",176282
"American Indian or Alaska Native, non-Hispanic",197865
Unknown,420025
Other Race,664381
Hispanic or Latino,857042
"White, non-Hispanic",2167376
