Category,Maricopa
Total_doses_administered,5215750
Total_people_one_dose,2568863
Total_people_complete,2270689
total_pouluation,2568863
Male-65 years and older,280458
Male-55-64 years,184978
Male-45-54 years,179230
Male-20-44 years,427094
Male-Less than 20 years,133658
Female-65 years and older,350919
Female-55-64 years,208451
Female-45-54 years,194723
Female-20-44 years,457779
Female-Less than 20 years,137139
"American Indian or Alaska Native, non-Hispanic",49592
"Black or African American, non-Hispanic",98549
"Asian or Pacific Islander, non-Hispanic",128985
Unknown,170239
Other Race,419677
Hispanic or Latino,424315
"White, non-Hispanic",1277506
