Category,Mohave
Total_doses_administered,171438
Total_people_one_dose,87289
Total_people_complete,74765
total_pouluation,87289
Male-65 years and older,20193
Male-55-64 years,8004
Male-45-54 years,4157
Male-20-44 years,7242
Male-Less than 20 years,1656
Female-65 years and older,22537
Female-55-64 years,9359
Female-45-54 years,4717
Female-20-44 years,7383
Female-Less than 20 years,1866
"Black or African American, non-Hispanic",585
"American Indian or Alaska Native, non-Hispanic",694
"Asian or Pacific Islander, non-Hispanic",1302
Hispanic or Latino,6821
Unknown,11393
Other Race,14064
"White, non-Hispanic",52430
