Category,Santa Cruz
Total_doses_administered,99437
Total_people_one_dose,52458
Total_people_complete,43336
total_pouluation,52458
Male-65 years and older,4554
Male-55-64 years,3166
Male-45-54 years,3298
Male-20-44 years,8799
Male-Less than 20 years,5379
Female-65 years and older,5491
Female-55-64 years,3427
Female-45-54 years,3558
Female-20-44 years,9028
Female-Less than 20 years,5681
"Black or African American, non-Hispanic",54
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Unknown,3329
Other Race,3397
"White, non-Hispanic",7318
Hispanic or Latino,38121
