Category,Graham
Total_doses_administered,40685
Total_people_one_dose,20378
Total_people_complete,18197
total_pouluation,20378
Male-65 years and older,2360
Male-55-64 years,1555
Male-45-54 years,1413
Male-20-44 years,3493
Male-Less than 20 years,1009
Female-65 years and older,2853
Female-55-64 years,1697
Female-45-54 years,1381
Female-20-44 years,3502
Female-Less than 20 years,1103
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",88
Other Race,1274
Hispanic or Latino,3599
Unknown,3978
"American Indian or Alaska Native, non-Hispanic",5061
"White, non-Hispanic",6298
