Category,Greenlee
Total_doses_administered,8567
Total_people_one_dose,4197
Total_people_complete,3678
total_pouluation,4197
Male-65 years and older,506
Male-55-64 years,369
Male-45-54 years,322
Male-20-44 years,763
Male-Less than 20 years,176
Female-65 years and older,506
Female-55-64 years,317
Female-45-54 years,319
Female-20-44 years,734
Female-Less than 20 years,183
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",46
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,293
"White, non-Hispanic",1740
Hispanic or Latino,1882
