Category,Navajo
Total_doses_administered,91094
Total_people_one_dose,46520
Total_people_complete,39031
total_pouluation,46520
Male-65 years and older,7117
Male-55-64 years,3455
Male-45-54 years,2571
Male-20-44 years,5518
Male-Less than 20 years,3895
Female-65 years and older,7998
Female-55-64 years,3979
Female-45-54 years,2580
Female-20-44 years,5382
Female-Less than 20 years,3990
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",339
Unknown,2134
Hispanic or Latino,2365
Other Race,6132
"White, non-Hispanic",15644
"American Indian or Alaska Native, non-Hispanic",19711
