Category,La Paz
Total_doses_administered,16656
Total_people_one_dose,8514
Total_people_complete,7386
total_pouluation,8514
Male-65 years and older,2321
Male-55-64 years,590
Male-45-54 years,314
Male-20-44 years,645
Male-Less than 20 years,308
Female-65 years and older,2356
Female-55-64 years,705
Female-45-54 years,362
Female-20-44 years,574
Female-Less than 20 years,321
"Black or African American, non-Hispanic",37
"Asian or Pacific Islander, non-Hispanic",87
"American Indian or Alaska Native, non-Hispanic",477
Other Race,1126
Hispanic or Latino,1252
Unknown,1752
"White, non-Hispanic",3783
