Category,Coconino
Total_doses_administered,188033
Total_people_one_dose,91641
Total_people_complete,80586
total_pouluation,91641
Male-65 years and older,9219
Male-55-64 years,6202
Male-45-54 years,5673
Male-20-44 years,16733
Male-Less than 20 years,5501
Female-65 years and older,10424
Female-55-64 years,7016
Female-45-54 years,5777
Female-20-44 years,19054
Female-Less than 20 years,5780
"Black or African American, non-Hispanic",757
"Asian or Pacific Islander, non-Hispanic",1533
Hispanic or Latino,6818
Other Race,8428
Unknown,12890
"American Indian or Alaska Native, non-Hispanic",21642
"White, non-Hispanic",39573
