,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1776617,412890,8323,28096,50731,15658,6347,4853,5310,706670,30119,20774,263058,75462,13505,62871,42118
Total_people_one_dose,1208498,294915,5517,19654,36882,11641,4195,3225,4180,475092,21147,14647,177174,51837,9186,48470,30736
Total_people_complete,568919,133228,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,365085,105089,,,,,,,,,,,,,,,
55-64 years,86609,16167,,,,,,,,,,,,,,,
45-54 years,78563,13373,,,,,,,,,,,,,,,
20-44 years,165813,27852,,,,,,,,,,,,,,,
Less than 20 years,5671,999,,,,,,,,,,,,,,,
65 years and older,296013,91074,,,,,,,,,,,,,,,
55-64 years,54347,10524,,,,,,,,,,,,,,,
45-54 years,50330,9565,,,,,,,,,,,,,,,
20-44 years,99430,18389,,,,,,,,,,,,,,,
Less than 20 years,3531,619,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2774,563,,,,,,,,,,,,,,,
Black or African American,18810,1385,,,,,,,,,,,,,,,
Asian,27489,4179,,,,,,,,,,,,,,,
American Indian or Alaska Native,36259,7512,,,,,,,,,,,,,,,
Hispanic or Latino,98886,11672,,,,,,,,,,,,,,,
Other Race/Unknown,430394,88671,,,,,,,,,,,,,,,
White,596394,181022,,,,,,,,,,,,,,,
