,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3558392,989176,13398,60238,98252,33473,11871,7166,11534,1302239,72046,34411,488360,152025,28874,117396,101191
Total_people_one_dose,2239657,638766,7880,39060,57772,20401,7360,4089,7415,814916,48373,21932,315190,95609,18534,72425,69935
Total_people_complete,1423624,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,526085,,,,,,,,,,,,,,,,
55-64 years,241393,,,,,,,,,,,,,,,,
45-54 years,149362,,,,,,,,,,,,,,,,
20-44 years,303922,,,,,,,,,,,,,,,,
Less than 20 years,23702,,,,,,,,,,,,,,,,
65 years and older,7415,,,,,,,,,,,,,,,,
55-64 years,194293,,,,,,,,,,,,,,,,
45-54 years,118517,,,,,,,,,,,,,,,,
20-44 years,235955,,,,,,,,,,,,,,,,
Less than 20 years,18646,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",43693,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",57732,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",72031,,,,,,,,,,,,,,,,
Hispanic or Latino,237080,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",319583,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",404760,,,,,,,,,,,,,,,,
"White, non-Hispanic",1106441,,,,,,,,,,,,,,,,
