Category,Maricopa
Total_doses_administered,6328405
Total_people_one_dose,2839889
Total_people_complete,2501073
total_pouluation,2839889
Male-65 years and older,299749
Male-55-64 years,197956
Male-45-54 years,193738
Male-20-44 years,468936
Male-Less than 20 years,179052
Female-65 years and older,373898
Female-55-64 years,221760
Female-45-54 years,209333
Female-20-44 years,500937
Female-Less than 20 years,180266
"American Indian or Alaska Native, non-Hispanic",55886
"Black or African American, non-Hispanic",112674
"Asian or Pacific Islander, non-Hispanic",144923
Unknown,192689
Other Race,445671
Hispanic or Latino,500600
"White, non-Hispanic",1387446
