Category,Mohave
Total_doses_administered,203618
Total_people_one_dose,95116
Total_people_complete,80502
total_pouluation,95116
Male-65 years and older,21960
Male-55-64 years,8582
Male-45-54 years,4522
Male-20-44 years,8095
Male-Less than 20 years,2100
Female-65 years and older,23976
Female-55-64 years,9945
Female-45-54 years,5061
Female-20-44 years,8364
Female-Less than 20 years,2329
"Black or African American, non-Hispanic",676
"American Indian or Alaska Native, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1478
Hispanic or Latino,7951
Unknown,11736
Other Race,14880
"White, non-Hispanic",57599
