Category,Apache
Total_doses_administered,78710
Total_people_one_dose,35017
Total_people_complete,30091
total_pouluation,35017
Male-65 years and older,3131
Male-55-64 years,2341
Male-45-54 years,1915
Male-20-44 years,4841
Male-Less than 20 years,4802
Female-65 years and older,3805
Female-55-64 years,2546
Female-45-54 years,1967
Female-20-44 years,4750
Female-Less than 20 years,4908
"Black or African American, non-Hispanic",71
"Asian or Pacific Islander, non-Hispanic",165
Hispanic or Latino,665
Unknown,1232
Other Race,1248
"White, non-Hispanic",3936
"American Indian or Alaska Native, non-Hispanic",27700
