Category,Santa Cruz
Total_doses_administered,131979
Total_people_one_dose,66901
Total_people_complete,50714
total_pouluation,66901
Male-65 years and older,4831
Male-55-64 years,3565
Male-45-54 years,3840
Male-20-44 years,10159
Male-Less than 20 years,9689
Female-65 years and older,5895
Female-55-64 years,4021
Female-45-54 years,4269
Female-20-44 years,10929
Female-Less than 20 years,9574
"American Indian or Alaska Native, non-Hispanic",55
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3684
Unknown,7023
"White, non-Hispanic",7688
Hispanic or Latino,48200
