Category,Greenlee
Total_doses_administered,10279
Total_people_one_dose,4514
Total_people_complete,4069
total_pouluation,4514
Male-65 years and older,517
Male-55-64 years,390
Male-45-54 years,336
Male-20-44 years,811
Male-Less than 20 years,247
Female-65 years and older,524
Female-55-64 years,318
Female-45-54 years,336
Female-20-44 years,777
Female-Less than 20 years,256
"Asian or Pacific Islander, non-Hispanic",51
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",127
Unknown,302
"White, non-Hispanic",1838
Hispanic or Latino,2043
