Category,Yavapai
Total_doses_administered,284259
Total_people_one_dose,129130
Total_people_complete,109823
total_pouluation,129130
Male-65 years and older,28580
Male-55-64 years,10080
Male-45-54 years,5524
Male-20-44 years,11379
Male-Less than 20 years,3343
Female-65 years and older,34485
Female-55-64 years,12704
Female-45-54 years,6570
Female-20-44 years,11535
Female-Less than 20 years,3705
"Black or African American, non-Hispanic",653
"American Indian or Alaska Native, non-Hispanic",1556
"Asian or Pacific Islander, non-Hispanic",1667
Hispanic or Latino,9320
Unknown,19032
Other Race,19061
"White, non-Hispanic",77841
