Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,10865945,78710,214917,192549,42656,10279,61282,19195,6328405,203618,120937,543106,1750650,131979,284259,357643
Total_people_complete,4247192,30091,83576,75856,17159,4069,24031,7784,2501073,80502,47238,219398,671848,50714,109823,140513
total_pouluation,7189020,35017,94299,91548,19258,4514,27367,9354,2839889,95116,55565,249430,776628,66901,129130,174282
Total_people_one_dose,4978648,35017,94299,91548,19258,4514,27367,9354,2839889,95116,55565,249430,776628,66901,129130,174282
Male-65 years and older,594177,3131,8477,12065,1998,517,5997,2531,299749,21960,7779,39255,92597,4831,28580,18154
Male-55-64 years,344709,2341,6063,6029,1366,390,2266,656,197956,8582,3931,17532,50140,3565,10080,11318
Male-45-54 years,313076,1915,5803,4838,1316,336,1298,336,193738,4522,3013,15370,44130,3840,5524,9863
Male-20-44 years,790658,4841,17636,13065,3271,811,2600,719,468936,8095,6845,37046,119517,10159,11379,30883
Male-Less than 20 years,318369,4802,6920,7314,1312,247,938,419,179052,2100,5454,12970,53683,9689,3343,15232
Female-65 years and older,720690,3805,9484,14093,2478,524,6367,2504,373898,23976,8819,44769,119090,5895,34485,20725
Female-55-64 years,391422,2546,6747,7119,1513,318,2668,765,221760,9945,4444,20069,59750,4021,12704,12131
Female-45-54 years,336862,1967,5776,5435,1247,336,1446,389,209333,5061,3041,15636,49776,4269,6570,10810
Female-20-44 years,826053,4750,20107,13864,3315,777,2758,630,500937,8364,6709,33327,131589,10929,11535,28817
Female-Less than 20 years,322763,4908,7107,7620,1431,256,974,387,180266,2329,5492,12842,54727,9574,3705,15643
"Black or African American, non-Hispanic",153602,71,831,1721,83,55,97,42,112674,676,229,9287,18168,62,653,915
"Asian or Pacific Islander, non-Hispanic",191293,165,1736,1599,66,51,226,92,144923,1478,420,4986,23309,189,1667,1288
"American Indian or Alaska Native, non-Hispanic",224522,27700,24191,393,5862,127,2987,567,55886,796,26271,10685,16564,55,1556,1267
Unknown,448510,1232,11308,11112,3821,302,4527,1947,192689,11736,2611,30219,66819,7023,19032,30959
Other Race,693998,1248,8083,12735,868,98,4411,1216,445671,14880,6534,29648,94741,3684,19061,21271
Hispanic or Latino,975546,665,7694,28680,2871,2043,1599,1418,500600,7951,2836,42524,202480,48200,9320,80660
"White, non-Hispanic",2291177,3936,40456,35308,5687,1838,13520,4072,1387446,57599,16664,122081,354547,7688,77841,37922
