,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,4120352,1177340,14388,69808,107046,36518,13141,7492,12465,1507399,84105,37931,559026,173003,33259,131650,111311
Total_people_one_dose,2568926,743455,8434,45213,63141,21705,8076,4272,8000,948712,55690,23788,357293,107486,22273,81646,73313
Total_people_complete,1695872,,,,,,,,,,,,,,,,
Total_doses_ordered,3967370,,,,,,,,,,,,,,,,
65 years and older,550164,,,,,,,,,,,,,,,,
55-64 years,264502,,,,,,,,,,,,,,,,
45-54 years,180731,,,,,,,,,,,,,,,,
20-44 years,376120,,,,,,,,,,,,,,,,
Less than 20 years,35909,,,,,,,,,,,,,,,,
65 years and older,55690,,,,,,,,,,,,,,,,
55-64 years,215779,,,,,,,,,,,,,,,,
45-54 years,150179,,,,,,,,,,,,,,,,
20-44 years,314138,,,,,,,,,,,,,,,,
Less than 20 years,30161,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",54011,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",62876,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",90285,,,,,,,,,,,,,,,,
Hispanic or Latino,300536,,,,,,,,,,,,,,,,
Unknown,351536,,,,,,,,,,,,,,,,
Other Race,450971,,,,,,,,,,,,,,,,
"White, non-Hispanic",1258711,,,,,,,,,,,,,,,,
