Category,Greenlee
Total_doses_administered,7492
Total_people_one_dose,4272
Total_people_complete,3403
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,511
Male-55-64 years,545
Male-45-54 years,437
Male-20-44 years,863
Male-Less than 20 years,37
Female-65 years and older,496
Female-55-64 years,388
Female-45-54 years,333
Female-20-44 years,625
Female-Less than 20 years,35
"Black or African American, non-Hispanic",0.0088951310861423
"Asian or Pacific Islander, non-Hispanic",0.010065543071161
"American Indian or Alaska Native, non-Hispanic",0.0173220973782772
Other Race,0.0191947565543071
Unknown,0.0807584269662921
"White, non-Hispanic",0.413623595505618
Hispanic or Latino,0.4501404494382023
