Category,Coconino
Total_doses_administered,107046
Total_people_one_dose,63141
Total_people_complete,47102
Total_doses_ordered,84550
total_pouluation,147275
Male-65 years and older,6544
Male-55-64 years,4824
Male-45-54 years,4146
Male-20-44 years,11936
Male-Less than 20 years,1244
Female-65 years and older,7591
Female-55-64 years,5703
Female-45-54 years,4543
Female-20-44 years,14609
Female-Less than 20 years,1944
"Black or African American, non-Hispanic",0.0059074135664624
"Asian or Pacific Islander, non-Hispanic",0.0119732028317575
Hispanic or Latino,0.054354539839407
Other Race,0.110134460968309
"American Indian or Alaska Native, non-Hispanic",0.1855846438922412
Unknown,0.254731474002629
"White, non-Hispanic",0.3773142648991939
