Category,La Paz
Total_doses_administered,15829
Total_people_one_dose,8275
Total_people_complete,7303
total_pouluation,8275
Male-65 years and older,2282
Male-55-64 years,588
Male-45-54 years,309
Male-20-44 years,631
Male-Less than 20 years,256
Female-65 years and older,2327
Female-55-64 years,691
Female-45-54 years,356
Female-20-44 years,556
Female-Less than 20 years,262
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",392
Other Race,1177
Hispanic or Latino,1198
Unknown,1880
"White, non-Hispanic",3511
